Timestamp,Red,Green,Blue
0.00000,179.41538,112.16036,97.12382
0.03337,177.76408,111.43513,96.86319
0.06673,177.29696,111.28088,96.24988
0.10010,178.07210,111.64895,96.76731
0.13347,177.33219,111.10851,96.65501
0.16683,178.15567,111.47563,97.12241
0.20020,177.69001,111.67289,96.56685
0.23357,178.45623,111.75651,97.40402
0.26693,177.66276,111.39860,96.84537
0.30030,177.94030,111.74125,96.88789
0.33367,178.21689,111.61111,97.12865
0.36703,178.19830,111.60400,97.19627
0.40040,177.43831,111.43104,96.30461
0.43377,178.24008,111.48655,97.28587
0.46713,178.00071,111.38023,97.20365
0.50050,177.30404,111.39513,96.25569
0.53387,178.02374,111.41437,97.18966
0.56723,177.52941,111.41527,96.61254
0.60060,177.60113,111.58986,96.61284
0.63397,177.81823,111.57699,96.91833
0.66733,178.46648,111.90007,97.39110
0.70070,178.16308,112.09554,96.78905
0.73407,178.73528,112.19381,97.63166
0.76743,178.24863,111.90774,97.29281
0.80080,178.22240,112.35994,97.14056
0.83417,178.70844,112.38442,97.58689
0.86753,178.57762,112.58871,97.68043
0.90090,178.21640,112.70406,97.12202
0.93427,178.78518,113.07631,97.78349
0.96763,178.99970,113.15246,97.96352
1.00100,178.68279,113.35541,97.33223
1.03437,179.24986,113.12258,98.32570
1.06773,178.62561,113.08194,97.53852
1.10110,179.31471,113.13060,98.35812
1.13447,178.70402,112.83087,97.93151
1.16783,178.84097,113.32987,97.93585
1.20120,178.75155,113.03008,98.06977
1.23457,179.26777,113.33767,98.28098
1.26793,178.71322,113.33813,97.72315
1.30130,179.29611,113.44105,98.43033
1.33467,179.23887,113.40197,98.15691
1.36803,178.92620,113.54607,97.90133
1.40140,178.87441,113.41535,97.95489
1.43477,179.49164,113.68533,98.24638
1.46813,179.85814,114.03743,98.22991
1.50150,180.04207,113.98782,98.15035
1.53487,179.63415,113.59651,97.88392
1.56823,178.62023,113.29259,97.05936
1.60160,179.08928,113.25086,97.71762
1.63497,178.64056,113.10910,97.27450
1.66833,178.69049,113.39195,97.32382
1.70170,178.73540,113.32857,97.45894
1.73507,178.63076,113.17895,97.50970
1.76843,178.91317,113.64392,97.37982
1.80180,179.84828,113.88894,98.35914
1.83517,179.47489,113.94830,98.09960
1.86853,178.95126,113.74365,97.74329
1.90190,177.06733,112.59278,96.54786
1.93527,177.68948,112.66513,97.06166
1.96863,177.73222,112.78653,97.15826
2.00200,177.00501,112.02297,96.85231
2.03537,177.09586,112.38013,96.73633
2.06873,177.44599,112.32076,97.07845
2.10210,178.58129,113.05908,97.88968
2.13547,179.11529,113.83313,97.75961
2.16883,180.13059,114.29545,98.76342
2.20220,180.14388,114.38234,98.70799
2.23557,179.60624,114.32371,98.37850
2.26893,179.87217,114.34081,98.63496
2.30230,179.81630,114.33051,98.72494
2.33567,179.14564,114.18715,98.00062
2.36903,179.96624,114.33239,98.84098
