Timestamp,Red,Green,Blue
0.00000,177.10658,109.94727,97.47956
0.03337,177.93577,110.03019,98.27717
0.06673,178.07230,110.16998,98.35992
0.10010,177.88677,109.89177,98.14253
0.13347,177.60159,110.04797,98.09839
0.16683,177.55936,109.84016,98.07602
0.20020,177.91237,109.49231,98.66330
0.23357,177.30511,109.66040,97.92130
0.26693,177.41059,109.83137,98.04988
0.30030,177.23282,109.37982,97.89450
0.33367,177.56833,109.96173,98.22237
0.36703,177.60128,109.69110,98.21283
0.40040,178.27551,110.23736,98.61797
0.43377,177.65451,109.70366,98.14380
0.46713,177.66342,109.86100,98.17422
0.50050,177.16909,109.58230,97.75294
0.53387,177.26106,109.10715,98.12605
0.56723,177.03792,108.88780,98.08185
0.60060,176.18022,108.76265,97.14767
0.63397,176.32202,108.52331,97.51687
0.66733,176.50221,108.95467,97.51045
0.70070,176.64782,109.48515,97.83581
0.73407,178.33812,110.73802,98.91314
0.76743,179.19843,111.38466,99.72646
0.80080,178.59219,111.52781,99.23226
0.83417,179.48144,112.01465,100.02643
0.86753,179.32862,112.10237,99.72515
0.90090,179.70567,112.26523,100.31622
0.93427,179.48969,112.40821,100.00580
0.96763,179.80393,112.85543,100.23975
1.00100,179.41588,112.97035,99.99392
1.03437,179.84305,112.76168,100.61680
1.06773,179.55737,112.54010,100.23798
1.10110,179.19703,112.23327,100.16883
1.13447,180.04554,112.62161,100.79760
1.16783,180.15151,112.57385,100.68053
1.20120,180.45469,112.66497,100.97473
1.23457,180.16184,112.67751,100.57940
1.26793,180.44612,112.88507,100.70075
1.30130,180.11758,112.35395,100.26825
1.33467,180.05706,111.92559,100.21844
1.36803,177.93792,110.70830,98.61962
1.40140,177.28176,109.57329,98.10857
1.43477,175.71789,108.99771,96.84636
1.46813,175.80697,108.45162,97.32883
1.50150,176.87932,109.34627,97.84798
1.53487,177.73535,109.71928,98.63720
1.56823,177.95197,109.78931,98.75379
1.60160,178.06831,109.98691,98.63725
1.63497,178.99185,110.28225,99.41664
1.66833,178.18893,110.45662,98.55650
1.70170,177.74156,109.29761,98.49506
1.73507,176.31254,108.28196,97.63311
1.76843,175.16366,107.80842,97.00275
1.80180,174.73512,107.96011,96.45689
1.83517,175.55429,107.74590,97.49060
1.86853,175.03465,107.77016,97.07594
1.90190,174.96538,107.99139,97.04242
1.93527,175.75122,108.79267,97.22427
1.96863,175.85243,108.80599,97.52974
2.00200,176.13304,109.15543,97.42549
2.03537,176.89803,109.66142,97.84113
2.06873,177.93763,109.94760,98.74905
2.10210,178.40286,110.29217,98.85869
2.13547,178.90364,110.57523,99.38167
2.16883,179.24250,111.21976,99.44527
2.20220,180.01843,111.39063,100.12925
2.23557,179.68351,111.17161,99.84616
2.26893,179.84599,111.39860,99.69432
2.30230,180.49358,111.38888,99.75405
2.33567,179.99629,111.01871,99.30134
2.36903,180.03985,110.89063,99.18520
2.40240,180.10356,110.82796,99.44368
2.43577,180.45043,111.21087,99.40160
2.46913,179.44730,110.24933,99.31682
2.50250,176.74935,108.87740,97.96899
2.53587,176.30594,108.72144,97.92673
2.56923,176.29174,108.56357,98.21136
2.60260,176.36485,108.29548,98.33151
2.63597,176.37781,109.07534,98.18852
2.66933,177.48589,109.89552,98.75842
2.70270,178.42769,110.05589,99.78262
2.73607,178.21206,110.52679,99.14665
2.76943,178.69782,109.85362,99.53012
2.80280,178.43485,109.58086,99.10254
2.83617,177.79425,109.71722,98.50678
2.86953,177.38657,109.08898,98.02336
2.90290,177.25898,109.30291,97.80792
2.93627,177.20723,109.51571,97.62386
2.96963,177.35389,109.50804,97.82277
3.00300,177.43252,109.58359,97.66734
3.03637,177.41467,109.33561,98.02149
3.06973,176.35357,108.36437,97.53654
3.10310,174.23260,107.01050,95.93525
3.13647,173.68838,106.80892,96.04616
3.16983,173.44244,107.24258,95.57784
3.20320,173.79551,107.10149,96.20250
3.23657,172.79913,107.03161,95.46202
3.26993,172.98236,106.76502,95.90941
3.30330,172.82870,107.04073,95.64726
3.33667,173.38924,107.01421,96.12608
3.37003,173.06729,107.09735,95.67378
3.40340,173.39064,106.76955,96.05854
3.43677,173.60955,107.34523,95.96777
3.47013,175.19149,107.86548,96.97983
3.50350,175.47424,108.37688,96.82667
3.53687,177.16462,108.96654,98.05729
3.57023,178.01389,109.26674,98.70685
3.60360,177.73815,109.80635,98.10143
3.63697,178.56343,110.24972,98.98136
3.67033,179.05281,110.20274,99.32438
3.70370,179.58553,110.95964,99.63025
3.73707,179.77035,111.66620,99.30657
3.77043,180.87998,111.68615,100.50537
3.80380,180.19103,111.88774,99.82407
3.83717,180.71748,112.32597,100.19838
3.87053,180.69377,112.64266,99.82390
3.90390,181.59725,113.12718,100.42972
3.93727,181.17716,113.21502,100.12449
3.97063,181.49465,113.25714,100.54459
4.00400,181.66408,113.29765,100.53309
4.03737,182.32133,113.35959,101.24521
4.07073,182.37246,113.37771,101.34467
4.10410,181.54728,113.47191,100.38912
4.13747,182.13638,113.78144,101.02328
4.17083,182.12111,113.43143,100.99606
4.20420,182.27056,113.92938,101.16026
4.23757,182.05382,114.03287,100.80545
4.27093,182.47191,114.06850,101.25529
4.30430,182.15010,114.18307,100.88184
4.33767,182.66929,113.68173,101.68283
4.37103,181.97632,113.83929,100.82402
4.40440,182.43258,113.93988,101.32211
4.43777,182.07019,113.85193,101.06572
4.47113,182.54395,114.09722,101.46118
4.50450,182.25740,114.11214,100.97181
