Timestamp,Red,Green,Blue
0.00000,194.78007,128.46530,111.82935
0.03337,193.94364,128.49517,111.01348
0.06673,194.57661,128.62529,111.65305
0.10010,194.39054,128.38918,111.60257
0.13347,194.93952,128.74085,112.10774
0.16683,194.27056,128.87751,111.48701
0.20020,194.64004,128.89868,111.79623
0.23357,194.54347,129.18592,111.61039
0.26693,194.81441,128.90678,112.09098
0.30030,194.39896,129.00311,111.60568
0.33367,194.63426,129.16291,111.85371
0.36703,194.70367,128.96303,111.91692
0.40040,194.60431,129.02046,111.85468
0.43377,194.40918,128.71195,111.76236
0.46713,195.19824,129.08561,112.42226
0.50050,195.03433,129.13867,112.22822
0.53387,194.87675,128.84631,112.11420
0.56723,195.13579,129.03184,112.43962
0.60060,195.02510,129.22816,112.14209
0.63397,196.02857,129.71006,113.13840
0.66733,196.69547,130.21154,113.53798
0.70070,197.14702,130.82763,113.78033
0.73407,197.19129,130.72856,113.96650
0.76743,198.13882,131.39639,114.73209
0.80080,197.66421,131.40146,114.14682
0.83417,198.63359,131.80013,115.15376
0.86753,198.91464,132.00219,115.17372
0.90090,198.89389,132.31319,115.12914
0.93427,198.99975,132.63824,115.19474
0.96763,199.89033,133.13947,115.78971
1.00100,198.52872,132.08381,115.00003
1.03437,195.61035,130.37027,112.92162
1.06773,194.83502,129.54952,112.60956
1.10110,195.63904,130.29337,113.07508
1.13447,197.13578,131.09292,114.29785
1.16783,199.19174,133.07084,115.49652
1.20120,200.99197,133.97961,116.86777
1.23457,201.31966,134.27282,117.04705
1.26793,201.65129,134.76614,117.18312
1.30130,201.94859,134.58035,117.39164
1.33467,201.84647,134.34288,117.36270
1.36803,201.85735,134.46680,117.09472
1.40140,202.79076,134.58278,117.88604
1.43477,202.69090,134.44206,117.61715
1.46813,202.68577,134.44332,117.47706
1.50150,202.52769,134.04156,117.54755
1.53487,202.16538,133.77543,117.09493
1.56823,201.81019,133.67945,116.75769
1.60160,200.83287,132.72185,116.18794
1.63497,200.87956,132.59198,116.25962
1.66833,200.42933,132.70202,115.82046
1.70170,200.12607,132.30402,115.91832
1.73507,199.99405,132.26824,115.82166
1.76843,200.22122,132.73486,115.93428
1.80180,200.42870,132.59450,116.20954
1.83517,200.18656,132.28919,115.95754
1.86853,199.75718,132.19960,115.36979
1.90190,199.77997,132.13994,115.50150
1.93527,200.09574,132.36667,115.41799
1.96863,200.24103,131.99958,115.83397
2.00200,200.02219,131.42345,115.72430
2.03537,199.21037,130.99079,115.08619
2.06873,198.76559,130.88823,114.93039
2.10210,198.51291,130.34029,114.72490
2.13547,198.81890,130.46438,114.66625
2.16883,199.15043,130.41372,114.88667
2.20220,199.44285,130.52582,115.23555
2.23557,199.49520,130.73845,114.95796
2.26893,199.59309,130.32341,115.15164
2.30230,198.20710,129.20415,114.07500
2.33567,197.41678,128.82610,113.59420
2.36903,196.68782,128.12258,113.16569
2.40240,196.49429,127.72700,113.11716
2.43577,195.84662,127.58915,112.39064
2.46913,196.34839,127.46018,112.77696
2.50250,196.58826,127.60673,113.05013
2.53587,196.53845,127.85555,112.63000
2.56923,197.28635,128.23001,113.41348
2.60260,197.51594,128.37532,113.50168
2.63597,197.40421,128.56213,113.36306
2.66933,197.68300,128.65863,113.58486
2.70270,197.92704,128.88698,113.92020
2.73607,197.34466,128.85443,113.25453
2.76943,197.60675,128.96594,113.75922
2.80280,197.32852,128.87720,113.54035
2.83617,197.33206,129.08928,113.55515
2.86953,196.77888,128.91982,113.10044
2.90290,197.04641,128.84370,113.46623
2.93627,196.71302,128.37667,113.28499
2.96963,196.83638,127.88621,113.41957
3.00300,196.36434,128.07080,112.93869
3.03637,196.52667,128.04605,112.99002
3.06973,196.70192,128.10196,113.25240
3.10310,196.12858,127.94031,112.67966
3.13647,196.85744,128.01355,113.35900
3.16983,197.00637,128.04120,113.24337
3.20320,196.96132,128.18444,113.14267
3.23657,196.79223,127.74363,113.07059
3.26993,196.50122,127.45820,112.96010
3.30330,195.93292,127.31763,112.27921
3.33667,196.89226,127.78172,113.05444
3.37003,196.95066,127.79230,112.96413
3.40340,196.64317,127.77447,112.78237
3.43677,196.39456,127.40660,112.64461
3.47013,197.00576,127.75968,113.15472
3.50350,196.64978,127.71255,112.80925
3.53687,196.85407,127.69983,112.82338
3.57023,196.88474,127.82103,113.07793
3.60360,195.89605,127.55119,112.14770
3.63697,196.33835,127.81534,112.54155
