Timestamp,Red,Green,Blue
0.00000,195.06516,131.46836,114.59323
0.03337,195.69352,131.70280,115.08661
0.06673,195.62165,131.75260,115.30958
0.10010,195.91046,132.33966,115.23104
0.13347,196.41239,132.60320,115.83742
0.16683,197.02073,133.05562,116.12414
0.20020,196.45329,132.82006,115.84669
0.23357,196.55925,132.81078,115.87781
0.26693,196.38456,132.74675,115.59202
0.30030,196.23719,132.65994,115.49935
0.33367,196.54497,132.71371,115.71574
0.36703,196.48260,132.64128,115.73525
0.40040,195.83489,132.18819,115.17853
0.43377,196.74337,132.72009,115.92600
0.46713,196.93837,132.94499,116.11163
0.50050,197.20687,133.15138,116.23612
0.53387,196.83600,132.89053,116.09791
0.56723,197.20942,133.17302,116.41628
0.60060,196.94941,133.07469,116.10633
0.63397,196.65553,132.74341,116.01355
0.66733,196.16265,132.29150,115.36124
0.70070,197.10159,132.91180,115.93808
0.73407,197.78462,133.49237,116.72994
0.76743,199.06478,134.30769,117.86816
0.80080,200.11793,134.96991,118.53157
0.83417,200.02444,135.05564,118.36965
0.86753,200.73722,135.49234,118.97922
0.90090,200.51169,135.47739,118.68435
0.93427,200.16661,135.11583,118.63229
0.96763,200.12507,135.27945,118.43219
1.00100,200.64211,135.17316,119.06302
1.03437,200.92188,135.56804,119.25026
1.06773,200.74611,135.51165,119.19527
1.10110,201.38720,135.86704,119.61450
1.13447,201.57287,135.86495,119.49719
1.16783,200.65878,135.28274,118.76512
1.20120,200.52498,134.79825,118.70502
1.23457,198.89066,133.59775,117.48082
1.26793,197.87648,132.39630,116.91052
1.30130,195.95683,130.81706,115.48714
1.33467,195.47759,130.50961,114.96520
1.36803,196.09775,131.01960,115.44220
1.40140,196.96018,131.56400,116.13900
1.43477,197.03909,131.44656,116.12175
1.46813,196.51489,131.18302,115.50794
1.50150,196.17143,130.73680,115.48097
1.53487,194.65264,129.61057,114.45219
1.56823,193.71787,128.79697,114.10869
1.60160,194.39194,129.16227,114.51305
1.63497,194.84822,129.47981,114.93531
1.66833,195.32919,129.88205,115.13348
1.70170,196.68495,130.60319,115.99404
1.73507,197.19754,130.87795,116.10171
1.76843,198.36214,131.51062,116.90910
1.80180,198.53128,131.59217,117.07763
1.83517,198.52172,131.60402,116.59339
1.86853,198.11699,131.38305,116.35829
1.90190,198.02908,131.46118,116.16720
1.93527,198.88049,131.82204,116.84166
1.96863,198.87992,131.68669,116.91644
2.00200,199.33378,132.26432,117.19517
2.03537,199.16318,132.38711,117.03423
2.06873,199.48868,132.50459,117.72566
2.10210,199.67829,132.78371,117.89647
2.13547,200.28511,133.26592,118.41302
2.16883,200.53058,133.50638,118.57067
2.20220,199.74518,132.79362,118.06022
2.23557,198.71121,131.90822,117.09578
2.26893,197.68862,130.87421,116.61231
2.30230,198.10780,131.06840,116.90819
2.33567,197.55451,130.80527,116.29453
2.36903,198.29886,131.31523,116.90047
2.40240,198.43023,131.52120,116.97545
2.43577,199.29918,132.22023,117.49547
2.46913,199.14854,132.26598,117.31762
2.50250,199.48851,132.19737,117.44116
2.53587,197.88633,131.33023,116.12438
2.56923,198.41251,131.50846,116.67724
2.60260,198.26619,131.41283,116.34742
2.63597,198.52137,131.54022,116.52001
2.66933,198.20505,131.22877,116.25775
2.70270,198.44195,131.38261,116.59682
2.73607,197.97287,131.22550,116.21763
2.76943,198.65349,131.29590,116.81397
2.80280,198.02366,130.89543,116.50118
2.83617,197.51577,130.56332,115.78533
2.86953,198.11985,130.74957,116.16756
2.90290,197.57258,130.35504,115.59572
2.93627,198.02399,130.33054,116.14050
2.96963,198.15817,130.55952,116.00362
3.00300,198.29606,130.80979,116.14652
3.03637,198.37296,130.84970,116.18434
3.06973,198.50610,130.89384,116.34962
3.10310,198.25370,130.87528,116.02657
3.13647,198.50628,131.01757,116.38677
3.16983,197.99507,130.67084,115.88750
3.20320,197.85191,130.71239,115.84858
3.23657,197.82874,130.63586,115.88655
3.26993,198.29058,130.92424,116.33744
3.30330,198.40253,131.07198,116.35367
3.33667,198.30821,131.07637,116.04578
3.37003,198.05681,130.92029,116.00577
3.40340,197.57311,130.67179,115.44706
3.43677,197.81173,130.60211,115.80274
3.47013,197.31358,130.31530,115.39262
3.50350,197.42856,130.41219,115.63111
3.53687,197.26609,130.27535,115.50426
3.57023,197.40643,130.39264,115.64995
3.60360,196.62619,130.11219,114.92062
3.63697,197.25607,130.33240,115.50542
3.67033,197.13453,130.33168,115.41439
3.70370,197.41874,130.58380,115.60179
3.73707,197.47046,130.56620,115.60778
3.77043,197.85967,130.76979,116.02880
3.80380,197.89032,130.85569,116.02539
3.83717,197.39050,130.78084,115.31729
3.87053,197.89061,130.87820,115.71051
3.90390,197.73224,130.62972,115.66590
3.93727,197.70544,130.79459,115.79954
3.97063,196.88331,130.46546,115.03313
