Timestamp,Red,Green,Blue
0.00000,192.02340,124.17032,109.67028
0.03337,193.18404,124.94132,110.24129
0.06673,193.36721,124.91079,110.50534
0.10010,192.98312,124.77820,109.94124
0.13347,193.40200,124.88095,110.51221
0.16683,193.22305,124.89637,110.26787
0.20020,193.28159,124.83760,110.44303
0.23357,193.83555,124.98728,110.87402
0.26693,193.09850,124.85703,110.19821
0.30030,193.70396,125.23206,110.70011
0.33367,194.51063,125.75162,111.13316
0.36703,194.74881,125.99233,111.44531
0.40040,194.56102,125.99122,111.11321
0.43377,195.42601,126.46553,111.91198
0.46713,195.21992,126.53688,111.39362
0.50050,195.57334,126.61943,111.82789
0.53387,194.96981,126.47476,111.26223
0.56723,194.58086,126.16690,111.41696
0.60060,193.48223,125.62990,110.65849
0.63397,194.19053,126.05646,111.25064
0.66733,193.93110,126.06809,110.91207
0.70070,194.59990,126.26125,111.64937
0.73407,194.96127,126.45670,112.00202
0.76743,194.60860,126.48007,111.20178
0.80080,194.83863,126.51140,111.67683
0.83417,194.76424,126.69809,111.39898
0.86753,195.95923,126.94390,112.50568
0.90090,195.28376,126.97529,111.65931
0.93427,195.67617,127.26880,112.18382
0.96763,196.26184,127.92847,112.30874
1.00100,196.50490,128.15886,112.79607
1.03437,196.07188,128.02810,112.31318
1.06773,196.36268,127.94378,112.49147
1.10110,196.43277,128.11500,112.22501
1.13447,196.12988,127.73574,112.25520
1.16783,195.28168,127.02840,111.42440
1.20120,195.37590,126.75449,111.81240
1.23457,194.48604,126.21228,111.32723
1.26793,194.45825,126.28443,110.84896
1.30130,194.16068,125.71047,110.94177
1.33467,193.56670,125.11713,110.60125
1.36803,193.65081,125.62311,110.54057
1.40140,195.15028,126.35125,111.33004
1.43477,196.69825,127.35820,112.63015
1.46813,197.69209,128.61483,113.06120
1.50150,197.69375,128.87430,113.99230
1.53487,196.47155,128.59430,113.89777
1.56823,195.69429,128.11098,113.13434
1.60160,193.82032,125.07560,111.10110
1.63497,191.20080,123.32305,109.50111
1.66833,189.10252,122.14910,108.16522
1.70170,191.02239,123.18415,109.57634
1.73507,193.99529,124.86248,111.25858
1.76843,195.97090,126.89812,112.17679
1.80180,197.92862,127.80807,113.81953
1.83517,198.04190,127.98111,113.67933
1.86853,197.71917,128.14649,113.33373
1.90190,196.44015,127.33571,112.45298
1.93527,195.02237,126.23422,111.87420
1.96863,195.22970,126.19954,111.83476
2.00200,195.66173,126.41489,112.37783
2.03537,195.34565,126.38479,112.01907
2.06873,195.45503,126.07952,112.32835
2.10210,195.29262,125.80970,112.05286
2.13547,194.22684,125.37307,111.59081
2.16883,195.46141,126.06830,112.20405
2.20220,196.18212,126.01260,112.95561
2.23557,195.81314,126.26935,112.57457
2.26893,196.33465,126.61726,112.43788
2.30230,196.45001,126.39681,113.04147
2.33567,195.13711,126.21278,111.70713
2.36903,195.91574,126.09402,112.52536
2.40240,196.07883,126.19804,112.38590
2.43577,195.66045,126.36048,112.00136
2.46913,195.06177,126.06167,111.42298
2.50250,194.85528,125.39882,111.73241
2.53587,194.42461,125.64502,110.96275
2.56923,194.83088,125.29512,111.66833
2.60260,194.33344,124.97466,111.31812
2.63597,194.71531,125.76261,111.62296
2.66933,192.97449,124.65956,110.77583
2.70270,193.52696,125.05713,111.72534
2.73607,193.48954,125.25257,111.47565
2.76943,193.77676,125.00668,111.81441
2.80280,193.64849,124.95283,111.86908
2.83617,192.95682,124.71539,110.93174
2.86953,193.33730,124.72972,111.17496
2.90290,193.63910,124.75025,110.97484
2.93627,194.30058,124.89948,111.51797
2.96963,194.38564,124.98223,111.24128
3.00300,195.13338,125.53275,111.74178
3.03637,195.61831,125.74009,111.90505
3.06973,196.30507,126.10599,112.45578
3.10310,196.15068,126.18946,112.12137
3.13647,196.44892,126.21575,112.64337
3.16983,196.16150,125.53182,112.50420
3.20320,196.18036,126.06207,112.41626
3.23657,196.90675,126.05859,113.18934
3.26993,196.11808,125.73964,112.41378
3.30330,195.96682,126.03144,112.23879
3.33667,195.78613,125.65939,112.20345
3.37003,196.14477,125.86487,112.52977
3.40340,195.23390,125.77075,111.56391
3.43677,195.86193,125.77906,112.36869
3.47013,195.67569,125.76567,112.12791
3.50350,195.28430,125.92017,111.80870
3.53687,195.67968,125.84365,112.10476
3.57023,195.80777,125.92365,112.20224
3.60360,195.16865,125.82382,111.38525
3.63697,195.65583,125.77138,112.11048
3.67033,195.60495,125.78508,111.91428
3.70370,195.33931,125.96463,111.73643
3.73707,195.36367,125.48036,112.01333
3.77043,195.35814,125.70545,111.72387
3.80380,195.11400,125.88737,111.51142
3.83717,194.52278,125.64237,110.96323
3.87053,194.73054,125.64720,111.14326
