Timestamp,Red,Green,Blue
0.00000,178.76473,112.57283,98.53004
0.03337,179.16151,112.80756,98.63080
0.06673,179.29460,112.91415,98.87829
0.10010,178.75693,112.76915,98.24270
0.13347,179.27325,112.94480,98.92498
0.16683,179.36791,112.94313,98.76891
0.20020,180.37104,113.32794,99.48374
0.23357,180.70124,113.52927,99.76528
0.26693,180.16861,113.26031,99.24410
0.30030,179.28565,112.85191,98.93434
0.33367,178.34813,112.32907,98.43998
0.36703,178.41866,112.38411,98.52206
0.40040,178.03039,112.40993,98.02550
0.43377,178.32699,112.34305,98.48278
0.46713,178.43554,112.43424,98.33554
0.50050,178.82642,112.78577,98.66015
0.53387,178.49633,112.51928,98.45237
0.56723,178.49693,112.48133,98.50251
0.60060,178.32331,112.57368,98.11487
0.63397,178.73758,112.57200,98.73840
0.66733,178.53502,112.57393,98.45248
0.70070,178.79626,112.59996,98.63736
0.73407,179.02921,112.53009,98.85142
0.76743,179.26766,112.70331,98.60237
0.80080,179.38488,112.78586,98.55535
0.83417,179.04494,112.50541,98.26199
0.86753,179.00867,112.37549,98.36325
0.90090,178.61604,112.43204,97.91410
0.93427,179.75559,112.89951,98.66637
0.96763,179.52648,112.72389,98.34385
1.00100,180.24553,112.97364,98.92958
1.03437,179.85441,112.69834,98.54715
1.06773,179.55707,112.25251,98.59231
1.10110,178.53900,111.86513,97.96047
1.13447,178.53016,111.69487,98.14154
1.16783,178.10962,111.45721,97.82009
1.20120,178.17570,111.33406,98.04040
1.23457,177.98230,111.26148,97.95652
1.26793,178.02561,111.40792,97.53880
1.30130,178.23780,111.35611,98.03801
1.33467,178.59648,111.57280,97.95377
1.36803,178.65245,111.91349,98.11474
1.40140,178.25572,111.59458,97.76579
1.43477,178.22342,111.49987,97.85958
1.46813,177.22805,111.11396,97.05840
1.50150,177.78549,111.20487,97.72168
1.53487,177.31465,110.98037,97.24490
1.56823,177.77038,111.26051,97.46996
1.60160,178.02556,111.25470,97.43358
1.63497,177.47899,110.77972,97.22518
1.66833,176.92219,110.59874,96.58452
1.70170,177.24045,110.29950,97.06856
1.73507,176.89599,109.98447,96.75910
1.76843,175.34078,109.35151,95.77065
1.80180,175.17916,109.15787,96.11950
1.83517,174.89547,109.17349,96.03941
1.86853,175.12210,109.46587,96.18974
1.90190,174.69984,109.37236,95.88454
1.93527,176.21964,110.20408,96.78633
1.96863,178.25843,111.51769,97.84337
2.00200,179.72157,112.51477,98.73573
2.03537,179.94568,112.85476,98.62076
2.06873,180.20903,112.94851,99.09826
2.10210,180.16530,112.97588,98.89411
2.13547,180.47615,113.18830,99.18623
2.16883,180.69836,113.48557,99.03318
2.20220,180.60968,113.03677,99.28234
2.23557,178.96359,111.93404,98.33229
2.26893,177.83157,111.25397,97.26578
2.30230,177.51963,110.88807,97.21038
2.33567,176.16190,109.98648,96.32796
2.36903,176.04646,109.55866,96.52100
2.40240,175.88691,109.33012,96.20975
2.43577,175.61385,109.11555,96.07118
2.46913,175.45336,109.05605,95.95670
2.50250,175.21685,109.09770,96.28110
2.53587,175.77983,109.71385,96.40927
2.56923,176.26985,109.95229,97.05401
2.60260,175.89390,109.84915,96.63914
2.63597,176.69026,110.44953,97.17684
2.66933,177.40052,110.81687,97.33228
