Timestamp,Red,Green,Blue
0.00000,181.15401,116.37966,102.29538
0.03337,182.49908,117.21529,103.29220
0.06673,182.45384,117.14887,103.26531
0.10010,182.91316,117.45887,103.50531
0.13347,182.75292,117.31771,103.44207
0.16683,182.92799,117.41751,103.63743
0.20020,182.50545,117.36391,103.18467
0.23357,182.80970,117.45481,103.72608
0.26693,182.88579,117.50941,103.64603
0.30030,182.67597,117.43504,103.57153
0.33367,182.94883,117.58442,103.71433
0.36703,183.38165,117.88055,104.10881
0.40040,183.13556,117.78745,103.76230
0.43377,183.57732,117.77480,104.25620
0.46713,183.56401,117.71488,104.27447
0.50050,182.99174,117.40414,103.51385
0.53387,183.17700,117.21472,103.87178
0.56723,182.63508,116.82003,103.39057
0.60060,181.95232,116.49911,103.01006
0.63397,180.94518,115.69137,102.40566
0.66733,180.12259,115.03789,101.99723
0.70070,179.47940,114.77389,101.35633
0.73407,179.24706,114.27889,101.57606
0.76743,178.65459,113.90399,100.92072
0.80080,178.31936,113.61878,100.83726
0.83417,178.39941,113.47440,100.68341
0.86753,178.26723,113.20095,100.55067
0.90090,176.97337,112.51634,99.60015
0.93427,176.44650,111.96563,99.57781
0.96763,176.58168,112.21269,99.87940
1.00100,176.39423,112.26396,99.80381
1.03437,177.19507,112.44353,100.22022
1.06773,177.09493,112.48532,99.95468
1.10110,177.65329,112.73052,100.45676
1.13447,177.40989,112.59627,100.05805
1.16783,178.18015,113.07552,100.45591
1.20120,177.95671,112.91172,100.26006
1.23457,177.39922,112.57589,100.04046
1.26793,177.48947,112.75343,99.97387
1.30130,179.18953,113.76435,101.04294
1.33467,179.17813,113.66156,100.87441
1.36803,179.52780,113.97938,101.15521
1.40140,178.76475,113.36019,100.65029
1.43477,178.29946,113.24987,101.11090
1.46813,177.67599,113.10889,101.09728
1.50150,177.70539,113.20381,100.93495
1.53487,178.47977,113.44335,101.22743
1.56823,179.59582,113.97195,101.31252
1.60160,179.87505,114.02051,101.70211
1.63497,179.97010,114.11624,101.61437
1.66833,180.42951,114.28010,101.97197
1.70170,179.97737,114.08336,101.66025
1.73507,180.27286,114.14892,102.02996
1.76843,179.99624,113.99494,101.64791
1.80180,179.95848,113.99311,101.74453
1.83517,180.08835,114.13315,101.76864
1.86853,180.03614,114.40125,101.87242
1.90190,180.13212,114.54206,101.83160
1.93527,181.22049,115.07661,102.76336
1.96863,181.45802,115.41918,103.11912
2.00200,181.62706,115.91296,102.99815
2.03537,182.10860,116.34293,103.24213
2.06873,182.17414,116.36953,103.24586
2.10210,181.14908,115.64336,102.75484
2.13547,180.58050,115.19595,102.20944
2.16883,179.85558,114.30422,102.02978
2.20220,179.69312,114.25281,101.88274
2.23557,179.33752,113.99128,101.83345
2.26893,179.53493,114.21416,101.94966
2.30230,179.71030,114.45532,102.17271
2.33567,180.85960,115.21488,102.49957
2.36903,181.39138,115.43593,103.02648
2.40240,180.86134,115.27113,102.57952
2.43577,180.96065,115.18126,102.74414
2.46913,180.70157,115.04729,102.64798
2.50250,180.13142,114.70275,102.06850
2.53587,179.42322,114.27079,101.82261
2.56923,179.20120,114.08955,101.68502
2.60260,178.99185,113.90055,101.74983
2.63597,178.59340,113.62856,101.27207
2.66933,178.45590,113.55681,101.25465
2.70270,178.35614,113.30201,100.98290
2.73607,178.41296,113.21015,100.98645
2.76943,178.63544,113.37747,101.05366
2.80280,178.61082,113.30003,101.15093
2.83617,178.57728,113.34903,100.96398
2.86953,179.69441,113.90824,101.79477
2.90290,179.26584,113.98249,101.29381
2.93627,180.23458,114.50598,101.99250
2.96963,180.69910,114.80443,102.33771
3.00300,180.40201,114.48842,101.78389
3.03637,180.67358,114.52543,102.20455
3.06973,179.95260,114.12428,101.57952
3.10310,180.14849,114.36091,101.78509
3.13647,179.54435,113.91021,101.48862
3.16983,180.35584,114.41387,101.83535
3.20320,179.96107,114.27753,101.38032
3.23657,180.71122,114.67143,102.11806
3.26993,180.88898,114.82745,102.08246
3.30330,180.99143,114.92986,102.18120
3.33667,181.29571,115.19455,102.34456
3.37003,181.07783,115.02882,102.39806
3.40340,181.45478,115.43591,102.45657
3.43677,180.67133,114.88927,102.21150
3.47013,180.45910,114.65133,102.06213
3.50350,179.78213,114.11286,101.47799
3.53687,180.09504,114.18833,101.91617
3.57023,179.94139,114.15043,101.81375
3.60360,179.80042,114.10835,101.78995
3.63697,179.97330,114.28264,101.87344
3.67033,180.23608,114.48487,102.17682
3.70370,179.90434,114.41426,101.71015
3.73707,180.10450,114.49021,102.02725
3.77043,180.13685,114.55524,101.93543
3.80380,180.56999,114.87879,102.23479
3.83717,180.40994,114.68420,102.06984
3.87053,180.62214,115.02813,102.32799
3.90390,180.47978,115.03074,102.01897
